timestamp,pos_x,pos_y,pos_z,yaw_rad,pitch_rad,roll_rad,vel_x,vel_y,vel_z,a_vel_yaw_rad,a_vel_pitch_rad,a_vel_roll_rad,acc_x,acc_y,acc_z,a_acc_yaw_rad,a_acc_pitch_rad,a_acc_roll_rad,head_light,fog_light,turn_signal,brake_light,back_light,other_light,custom_light_a,custom_light_b,custom_light_c,custom_light_d,custom_light_e,custom_light_f,custom_light_g,custom_light_h,front_wiper,rear_wiper
0.0000000000,47.8433635034,201.7592175779,0.4851163719,-0.0010181983,0.0050323859,-0.0602169720,14.4442540553,-0.0147071200,-0.0726897112,0.0000000000,0.0018010160,0.0000005440,-0.0001312117,0.0000001360,-0.0260150640,0.0000000000,0.0000000000,0.0000000000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0.0125000000,48.0239143929,201.7590337412,0.4842380094,-0.0010181983,0.0050548986,-0.0602169652,14.4442524152,-0.0147071183,-0.0730148995,0.0000000000,0.0018010160,0.0000005440,-0.0001317901,0.0000001280,-0.0260143520,0.0000000000,0.0000000000,0.0000000000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0.0250000000,48.2044652413,201.7588499046,0.4833596471,-0.0010181983,0.0050774113,-0.0602169584,14.4442507678,-0.0147071167,-0.0733400789,0.0000000000,0.0018010160,0.0000005440,-0.0001323776,0.0000001360,-0.0260143440,0.0000000000,-0.0222291200,0.0001785600,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0.0375000000,48.3850160486,201.7586660680,0.4824812850,-0.0010181983,0.0050999240,-0.0602169516,14.4442491130,-0.0147071150,-0.0736652582,0.0000000000,0.0015231520,0.0000027760,-0.0001124165,0.0000001200,-0.0220006400,0.0000000000,-0.0506355200,-0.0002003200,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0.0500000000,48.5655668145,201.7584822315,0.4815925025,-0.0010181983,0.0051189634,-0.0602169169,14.4442477079,-0.0147071135,-0.0739402662,0.0000000000,0.0008902080,0.0000002720,-0.0000658888,0.0000000640,-0.0128582000,0.0000000000,0.0000000000,0.0000000000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0.0625000000,48.7461175452,201.7582983950,0.4806799839,-0.0010181983,0.0051300910,-0.0602169135,14.4442468842,-0.0147071127,-0.0741009937,0.0000000000,0.0008902080,0.0000002720,-0.0000660404,0.0000000640,-0.0128584480,0.0000000000,0.0000006400,0.0000006400,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0.0750000000,48.9266682554,201.7581145585,0.4797674653,-0.0010181983,0.0051412186,-0.0602169101,14.4442460588,-0.0147071119,-0.0742617243,0.0000000000,0.0008902160,0.0000002800,-0.0000661750,0.0000000720,-0.0128584400,0.0000000000,-0.0000006400,-0.0000006400,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0.0875000000,49.1072189449,201.7579307220,0.4788549469,-0.0010181983,0.0051523463,-0.0602169066,14.4442452315,-0.0147071110,-0.0744224548,0.0000000000,0.0008902080,0.0000002720,-0.0000663271,0.0000000640,-0.0128584320,0.0000000000,0.0000006400,0.0000000000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0.1000000000,49.2877696138,201.7577468855,0.4779424286,-0.0010181983,0.0051634739,-0.0602169032,14.4442444025,-0.0147071102,-0.0745831852,0.0000000000,0.0008902160,0.0000002720,-0.0000664631,0.0000000720,-0.0128584320,0.0000000000,0.0529683200,0.0001958400,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0.1125000000,49.4683202619,201.7575630491,0.4770299104,-0.0010181983,0.0051746016,-0.0602168998,14.4442435716,-0.0147071093,-0.0747439156,0.0000000000,0.0015523200,0.0000027200,-0.0001162512,0.0000001200,-0.0224223999,0.0000000000,0.0165766400,-0.0001734400,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
